file1,file2,text_score
062489.json,092591.json,
067819.json,095716.json,
051480.json,107811.json,
099549.json,106173.json,
097090.json,007202.json,
069087.json,060268.json,
050219.json,081571.json,
032188.json,033607.json,
031017.json,076538.json,
049763.json,070790.json,
028341.json,044832.json,
053253.json,023297.json,
114535.json,082831.json,
110938.json,076309.json,
073558.json,049158.json,
066525.json,017067.json,
020123.json,006096.json,
050347.json,096055.json,
051298.json,085897.json,
052881.json,032381.json,
104655.json,080681.json,
080315.json,030262.json,
116352.json,042885.json,
054305.json,063262.json,
026574.json,006506.json,
010875.json,014273.json,
048980.json,047745.json,
006428.json,098062.json,
084618.json,004205.json,
024226.json,060679.json,
083689.json,045769.json,
116388.json,057369.json,
047854.json,087398.json,
111774.json,072468.json,
103023.json,001419.json,
064979.json,003522.json,
038525.json,043391.json,
063645.json,019100.json,
024429.json,103732.json,
040288.json,061830.json,
031422.json,121234.json,
092010.json,002415.json,
047721.json,017537.json,
105983.json,058550.json,
038763.json,041129.json,
033082.json,095608.json,
112345.json,047860.json,
020265.json,097992.json,
038065.json,042007.json,
081776.json,066411.json,
063522.json,067467.json,
074820.json,050986.json,
049731.json,087326.json,
015625.json,014074.json,
103921.json,013444.json,
114227.json,112264.json,
112736.json,083198.json,
007633.json,081044.json,
084386.json,065312.json,
087586.json,102476.json,
046971.json,116509.json,
020417.json,094884.json,
044280.json,047060.json,
039915.json,098158.json,
094121.json,006502.json,
054320.json,026960.json,
019440.json,045562.json,
012275.json,089258.json,
005018.json,062301.json,
100107.json,055068.json,
065885.json,039869.json,
102396.json,009420.json,
021976.json,079827.json,
001380.json,053831.json,
013403.json,114729.json,
004447.json,100165.json,
030187.json,119943.json,
020777.json,094634.json,
084212.json,016510.json,
108104.json,058084.json,
118063.json,040657.json,
036023.json,030545.json,
035311.json,053795.json,
039618.json,074839.json,
017767.json,118576.json,
013300.json,110678.json,
004547.json,055730.json,
032069.json,113885.json,
059833.json,067370.json,
016637.json,030466.json,
006615.json,048544.json,
009598.json,082956.json,
030168.json,008924.json,
023771.json,092486.json,
064154.json,042749.json,
002405.json,051565.json,
047824.json,001010.json,
020254.json,031130.json,
044486.json,025285.json,
006107.json,103076.json,
098814.json,045016.json,
073778.json,078539.json,
032232.json,112145.json,
053248.json,016542.json,
051186.json,092819.json,
018474.json,071002.json,
088895.json,021804.json,
110792.json,100924.json,
085103.json,090888.json,
017396.json,038875.json,
036524.json,042787.json,
081350.json,066588.json,
039765.json,076580.json,
087265.json,090618.json,
114743.json,027994.json,
064832.json,011590.json,
019472.json,063517.json,
062099.json,075098.json,
046802.json,058015.json,
028120.json,062405.json,
060480.json,068199.json,
071558.json,025670.json,
112999.json,043174.json,
114903.json,025421.json,
109098.json,017036.json,
017077.json,075717.json,
077897.json,020383.json,
097301.json,001320.json,
040210.json,087229.json,
110595.json,072785.json,
060811.json,106691.json,
012323.json,060933.json,
002338.json,029494.json,
109531.json,110447.json,
111104.json,066816.json,
004017.json,054470.json,
000701.json,082754.json,
029476.json,088456.json,
103878.json,048791.json,
034410.json,060419.json,
096993.json,120236.json,
040224.json,040806.json,
089934.json,010950.json,
108332.json,026331.json,
070844.json,028116.json,
107665.json,009442.json,
037162.json,093851.json,
051010.json,066258.json,
089012.json,047816.json,
020704.json,108778.json,
024163.json,067060.json,
025348.json,068814.json,
058521.json,016297.json,
101220.json,060064.json,
013884.json,107595.json,
118585.json,018682.json,
033878.json,099715.json,
118316.json,082772.json,
059252.json,022745.json,
090199.json,051852.json,
063534.json,086120.json,
012063.json,000705.json,
002418.json,103000.json,
090908.json,010962.json,
006013.json,024648.json,
107622.json,047422.json,
054598.json,002045.json,
053028.json,043184.json,
088749.json,074238.json,
088226.json,047633.json,
082666.json,020274.json,
022753.json,118670.json,
071257.json,117325.json,
066083.json,002086.json,
103365.json,114160.json,
113593.json,095438.json,
102025.json,108373.json,
093122.json,082046.json,
117154.json,100850.json,
001995.json,046346.json,
037225.json,103942.json,
045171.json,010276.json,
107349.json,067675.json,
069936.json,063757.json,
051040.json,001979.json,
075691.json,049625.json,
120566.json,068611.json,
031332.json,035999.json,
081076.json,096540.json,
023625.json,053535.json,
074662.json,057787.json,
061861.json,072134.json,
062941.json,042325.json,
027005.json,021856.json,
104245.json,104157.json,
047973.json,102724.json,
073037.json,070372.json,
092090.json,086915.json,
077625.json,073321.json,
082522.json,121031.json,
064261.json,112230.json,
001347.json,073624.json,
065382.json,007787.json,
004752.json,103031.json,
090619.json,092125.json,
019062.json,117826.json,
071256.json,120989.json,
060745.json,089874.json,
053708.json,097368.json,
079935.json,011014.json,
064361.json,095178.json,
053046.json,014578.json,
035131.json,112312.json,
033256.json,072486.json,
116095.json,010614.json,
088905.json,015681.json,
105775.json,052484.json,
073661.json,043572.json,
045471.json,084537.json,
013197.json,000367.json,
067065.json,060176.json,
088143.json,022930.json,
019740.json,018878.json,
116027.json,012560.json,
113397.json,103065.json,
075423.json,071818.json,
074738.json,018813.json,
057954.json,015488.json,
091649.json,098525.json,
066510.json,052018.json,
026208.json,071563.json,
070824.json,100760.json,
103297.json,091006.json,
046771.json,044285.json,
073590.json,041039.json,
054204.json,099381.json,
023065.json,044227.json,
031270.json,120642.json,
073439.json,113106.json,
043939.json,098886.json,
111650.json,035674.json,
006347.json,062121.json,
046084.json,025908.json,
042332.json,018690.json,
109770.json,070138.json,
015556.json,057736.json,
002026.json,021563.json,
017625.json,024225.json,
059957.json,016720.json,
046977.json,062188.json,
045336.json,023934.json,
044973.json,063278.json,
112831.json,096565.json,
080456.json,019351.json,
078609.json,062814.json,
110356.json,014001.json,
037107.json,092462.json,
018544.json,117772.json,
006440.json,092721.json,
085655.json,088712.json,
013615.json,048354.json,
008830.json,101815.json,
020174.json,075275.json,
035127.json,100842.json,
102308.json,110351.json,
109334.json,030842.json,
051108.json,085268.json,
065176.json,084007.json,
056268.json,025758.json,
021119.json,093283.json,
039698.json,090876.json,
103490.json,106947.json,
058126.json,018559.json,
041949.json,088047.json,
101726.json,033942.json,
007825.json,060492.json,
120061.json,027122.json,
066416.json,008860.json,
103997.json,086797.json,
039093.json,096077.json,
091901.json,073431.json,
050220.json,014401.json,
066179.json,064211.json,
076792.json,034075.json,
082043.json,115209.json,
051430.json,022283.json,
107464.json,120766.json,
090894.json,014611.json,
100769.json,055445.json,
068422.json,113767.json,
005956.json,030469.json,
039645.json,101647.json,
029467.json,003364.json,
065082.json,116213.json,
044547.json,021687.json,
047492.json,109128.json,
065882.json,049816.json,
062765.json,044012.json,
083671.json,018846.json,
005329.json,026742.json,
037747.json,014403.json,
059264.json,073158.json,
022488.json,089484.json,
081813.json,107586.json,
118024.json,050606.json,
080510.json,099620.json,
032125.json,096343.json,
003989.json,027000.json,
085445.json,109634.json,
110529.json,030412.json,
099029.json,108319.json,
089806.json,009328.json,
008524.json,113137.json,
078758.json,011953.json,
014179.json,023484.json,
058879.json,067518.json,
000792.json,113722.json,
031339.json,051950.json,
076148.json,094698.json,
097523.json,118884.json,
079427.json,001398.json,
030362.json,009346.json,
055168.json,049988.json,
026245.json,111297.json,
111957.json,080184.json,
111802.json,059021.json,
020935.json,107860.json,
027611.json,005647.json,
032067.json,042276.json,
075780.json,001403.json,
083857.json,018884.json,
087985.json,081487.json,
109790.json,023817.json,
073142.json,109304.json,
100733.json,045906.json,
076048.json,023081.json,
086241.json,054606.json,
011297.json,038554.json,
021188.json,078517.json,
021887.json,056635.json,
059144.json,121451.json,
040679.json,094928.json,
065025.json,099849.json,
092300.json,052052.json,
105623.json,033183.json,
080015.json,027979.json,
089627.json,088507.json,
049805.json,039581.json,
051203.json,046579.json,
059273.json,049213.json,
086413.json,015930.json,
107253.json,097044.json,
064843.json,035228.json,
076526.json,032279.json,
094423.json,047604.json,
061252.json,014226.json,
044167.json,114645.json,
102202.json,101744.json,
055424.json,041694.json,
039090.json,051812.json,
059427.json,031725.json,
086890.json,019496.json,
003581.json,106655.json,
079510.json,077565.json,
109922.json,014817.json,
101208.json,064550.json,
007909.json,116909.json,
098003.json,077980.json,
102587.json,082266.json,
061428.json,028503.json,
118433.json,119986.json,
022718.json,084716.json,
001677.json,111140.json,
096477.json,027620.json,
058882.json,059422.json,
073418.json,013654.json,
048717.json,064275.json,
101231.json,110090.json,
018845.json,001040.json,
027331.json,033515.json,
016948.json,028238.json,
113175.json,087952.json,
027904.json,059931.json,
043873.json,056770.json,
096092.json,005279.json,
034439.json,073579.json,
040631.json,046095.json,
064411.json,068879.json,
045713.json,065614.json,
075839.json,116273.json,
079696.json,072898.json,
077382.json,120020.json,
018431.json,099374.json,
091882.json,024669.json,
028986.json,041063.json,
024639.json,069294.json,
100475.json,077799.json,
046196.json,091087.json,
070703.json,069386.json,
080732.json,037974.json,
012415.json,089282.json,
077019.json,018696.json,
105427.json,074725.json,
118889.json,023622.json,
035154.json,007032.json,
065643.json,074038.json,
105869.json,024571.json,
029585.json,062038.json,
034195.json,042725.json,
001846.json,083698.json,
003497.json,110344.json,
033675.json,089314.json,
044757.json,020713.json,
114976.json,026430.json,
048128.json,042830.json,
027074.json,093358.json,
110581.json,035549.json,
019325.json,086006.json,
104842.json,060087.json,
070147.json,118816.json,
041839.json,119849.json,
065337.json,061737.json,
080384.json,106132.json,
026521.json,119161.json,
070743.json,016488.json,
041946.json,037580.json,
082610.json,096542.json,
076487.json,093175.json,
053575.json,075319.json,
021348.json,061562.json,
054419.json,027806.json,
121008.json,073504.json,
113911.json,095933.json,
010652.json,046944.json,
078862.json,087846.json,
109825.json,021487.json,
113165.json,115066.json,
035944.json,083604.json,
100095.json,007491.json,
084262.json,093227.json,
059740.json,046999.json,
008748.json,045473.json,
050127.json,070911.json,
063817.json,118458.json,
078118.json,120675.json,
109344.json,076833.json,
119818.json,097727.json,
046541.json,100964.json,
010925.json,007351.json,
019537.json,058893.json,
020422.json,088566.json,
077806.json,000731.json,
010830.json,029914.json,
075779.json,117461.json,
039114.json,059850.json,
012329.json,046040.json,
093367.json,080554.json,
072207.json,100542.json,
092548.json,058220.json,
009620.json,006063.json,
061431.json,070377.json,
067345.json,114628.json,
064288.json,088906.json,
096390.json,084953.json,
058500.json,004428.json,
009671.json,025389.json,
111068.json,042730.json,
085070.json,093988.json,
120750.json,061216.json,
041938.json,055961.json,
053909.json,001480.json,
011499.json,028811.json,
021632.json,082608.json,
080937.json,043420.json,
064794.json,019539.json,
063093.json,055811.json,
031304.json,083849.json,
082593.json,109095.json,
080909.json,021293.json,
000413.json,045377.json,
015546.json,027475.json,
021873.json,120813.json,
111760.json,015598.json,
093733.json,086776.json,
037705.json,016947.json,
026334.json,109173.json,
119977.json,045737.json,
008943.json,097653.json,
106408.json,032723.json,
108372.json,066602.json,
044467.json,065598.json,
021382.json,086578.json,
101546.json,121279.json,
019422.json,071667.json,
009916.json,104821.json,
106920.json,052166.json,
002633.json,094196.json,
085237.json,077180.json,
003407.json,107571.json,
035110.json,096836.json,
055085.json,024313.json,
000688.json,011304.json,
074052.json,081362.json,
013497.json,029641.json,
029240.json,031526.json,
032375.json,108102.json,
023214.json,088981.json,
063529.json,014864.json,
067136.json,028603.json,
011299.json,042654.json,
084845.json,012193.json,
078684.json,100947.json,
104541.json,093646.json,
025506.json,069415.json,
098715.json,066625.json,
036588.json,059721.json,
034964.json,042195.json,
015176.json,014589.json,
110873.json,008621.json,
049659.json,065352.json,
111704.json,011489.json,
024924.json,115346.json,
087979.json,097157.json,
076381.json,018380.json,
109920.json,040501.json,
001922.json,097205.json,
045452.json,020944.json,
115717.json,052525.json,
071502.json,028776.json,
106420.json,012191.json,
095143.json,036041.json,
011607.json,004168.json,
035027.json,025251.json,
011028.json,002174.json,
115985.json,077796.json,
079061.json,042060.json,
034046.json,101789.json,
121242.json,071766.json,
091329.json,093702.json,
115277.json,114681.json,
015264.json,001608.json,
112561.json,070884.json,
027493.json,017453.json,
108279.json,063779.json,
091940.json,079627.json,
041834.json,111625.json,
110266.json,102447.json,
118370.json,017589.json,
109464.json,024158.json,
005375.json,001084.json,
015999.json,086474.json,
090543.json,008244.json,
079857.json,108537.json,
018347.json,049615.json,
039404.json,120404.json,
025553.json,028699.json,
018098.json,018508.json,
055584.json,065405.json,
078704.json,081625.json,
120631.json,051582.json,
027736.json,061560.json,
027098.json,051127.json,
104790.json,029889.json,
096276.json,076789.json,
089909.json,120516.json,
005995.json,099792.json,
101692.json,111705.json,
049477.json,053119.json,
005581.json,118517.json,
112148.json,053740.json,
004036.json,094413.json,
013890.json,120944.json,
005234.json,119869.json,
095060.json,119652.json,
107462.json,053667.json,
087688.json,100357.json,
062503.json,032039.json,
106766.json,096210.json,
048050.json,008172.json,
058420.json,045148.json,
019549.json,060840.json,
115766.json,104637.json,
017229.json,037341.json,
102481.json,085186.json,
020550.json,071074.json,
033707.json,078572.json,
061689.json,061080.json,
026488.json,035421.json,
108059.json,094988.json,
098828.json,069403.json,
059206.json,010575.json,
117623.json,071043.json,
038500.json,071335.json,
040381.json,040587.json,
080589.json,100375.json,
025357.json,036143.json,
027325.json,065453.json,
061773.json,028832.json,
057436.json,015585.json,
005008.json,014977.json,
035653.json,008274.json,
019449.json,075521.json,
097512.json,103530.json,
062672.json,053869.json,
075829.json,040512.json,
096060.json,021912.json,
061654.json,084368.json,
117361.json,120891.json,
062579.json,015145.json,
045875.json,042866.json,
076137.json,004251.json,
118128.json,116008.json,
118144.json,014201.json,
106198.json,063075.json,
041472.json,023210.json,
078714.json,037288.json,
008167.json,033135.json,
027353.json,108037.json,
112687.json,003793.json,
043514.json,028434.json,
090158.json,008193.json,
027638.json,058263.json,
043447.json,011357.json,
002975.json,078687.json,
071396.json,040073.json,
101040.json,101334.json,
119516.json,018820.json,
080160.json,068095.json,
013024.json,116733.json,
084336.json,025298.json,
051429.json,044284.json,
047748.json,010102.json,
000279.json,089404.json,
036049.json,095445.json,
083592.json,018257.json,
075957.json,006957.json,
023072.json,105305.json,
117568.json,036510.json,
119821.json,047045.json,
013377.json,086380.json,
044909.json,045731.json,
031997.json,116346.json,
106107.json,067252.json,
023756.json,007068.json,
087187.json,097895.json,
084946.json,022598.json,
120652.json,049167.json,
119756.json,117590.json,
013340.json,083696.json,
046561.json,063328.json,
090043.json,023652.json,
105329.json,045730.json,
073638.json,038752.json,
023203.json,026547.json,
056574.json,010958.json,
046452.json,103593.json,
049752.json,114401.json,
031790.json,018578.json,
074753.json,044955.json,
080484.json,015441.json,
098347.json,012079.json,
009396.json,029305.json,
082895.json,008355.json,
043109.json,071241.json,
019557.json,050253.json,
035763.json,049867.json,
036401.json,007990.json,
058424.json,029974.json,
036694.json,064790.json,
088255.json,039077.json,
050568.json,014956.json,
035743.json,033994.json,
079083.json,106164.json,
092829.json,088655.json,
019300.json,099507.json,
110824.json,013207.json,
028418.json,114560.json,
092615.json,068136.json,
098856.json,113143.json,
012734.json,001549.json,
114572.json,080348.json,
021132.json,098652.json,
119515.json,107863.json,
024365.json,004760.json,
057450.json,062964.json,
067234.json,002465.json,
027615.json,072107.json,
005572.json,037643.json,
059778.json,027612.json,
003589.json,044248.json,
040968.json,049417.json,
092283.json,045083.json,
074552.json,015484.json,
091230.json,089752.json,
067629.json,051192.json,
055257.json,062480.json,
032230.json,095307.json,
017845.json,085896.json,
072524.json,017600.json,
112958.json,091960.json,
069787.json,102267.json,
025141.json,027323.json,
059091.json,109605.json,
053669.json,080545.json,
019616.json,002021.json,
116447.json,042601.json,
056256.json,116168.json,
070719.json,022958.json,
073580.json,103391.json,
083165.json,026260.json,
085522.json,048316.json,
068555.json,081948.json,
055092.json,072396.json,
048632.json,104023.json,
029064.json,089002.json,
043280.json,016030.json,
101476.json,054522.json,
069734.json,017316.json,
088722.json,089607.json,
090606.json,021880.json,
097137.json,112715.json,
120632.json,037001.json,
117669.json,072426.json,
008067.json,040039.json,
022614.json,099522.json,
033970.json,063897.json,
078737.json,073629.json,
005735.json,023763.json,
008407.json,029973.json,
118708.json,003234.json,
030971.json,072576.json,
014143.json,006287.json,
087347.json,080154.json,
023720.json,090519.json,
020492.json,102573.json,
053435.json,071482.json,
050659.json,068842.json,
016279.json,114478.json,
062760.json,069184.json,
121205.json,041225.json,
118421.json,098022.json,
063955.json,096902.json,
031465.json,081343.json,
072270.json,106718.json,
092319.json,096994.json,
027416.json,015792.json,
121443.json,046662.json,
017708.json,066637.json,
114854.json,008646.json,
067001.json,067393.json,
087740.json,118272.json,
097488.json,048403.json,
022739.json,113669.json,
028753.json,083161.json,
038839.json,032122.json,
054342.json,001692.json,
079416.json,103293.json,
